worker_id,X.bail,X.stats,mmap_size,page_size,synchr1ous,PERF
75,0,0,0,512,0,216.1460745
75,0,0,0,512,1,217.1194401
75,0,0,0,65536,0,200.2439463
75,0,0,0,65536,1,202.14911
75,0,0,268435456,512,0,212.2880801
75,0,0,268435456,512,1,212.4745274
75,0,0,268435456,65536,0,200.7138474
75,0,0,268435456,65536,1,202.7028343
75,0,1,0,512,0,343.1836527
75,0,1,0,512,1,345.669852
75,0,1,0,65536,0,328.4223212
75,0,1,0,65536,1,331.6572138
75,0,1,268435456,512,0,339.33484
75,0,1,268435456,512,1,342.071095
75,0,1,268435456,65536,0,329.1925948
75,0,1,268435456,65536,1,333.7698404
75,1,0,0,512,0,216.6772697
75,1,0,0,512,1,218.5825348
75,1,0,0,65536,0,201.3162455
75,1,0,0,65536,1,203.1862975
75,1,0,268435456,512,0,212.2688845
75,1,0,268435456,512,1,212.5965501
75,1,0,268435456,65536,0,200.2756269
75,1,0,268435456,65536,1,204.2566858
75,1,1,0,512,0,347.6046072
75,1,1,0,512,1,346.1311508
75,1,1,0,65536,0,329.522108
75,1,1,0,65536,1,331.8060979
75,1,1,268435456,512,0,340.6515292
75,1,1,268435456,512,1,339.5842981
75,1,1,268435456,65536,0,329.5054009
75,1,1,268435456,65536,1,333.3646833
90,0,0,0,512,0,221.6469861
90,0,0,0,512,1,222.4078824
90,0,0,0,65536,0,206.3259513
90,0,0,0,65536,1,208.8501912
90,0,0,268435456,512,0,216.0884065
90,0,0,268435456,512,1,217.1413969
90,0,0,268435456,65536,0,207.1919233
90,0,0,268435456,65536,1,210.3121552
90,0,1,0,512,0,351.4059038
90,0,1,0,512,1,349.9052215
90,0,1,0,65536,0,333.240554
90,0,1,0,65536,1,336.3738445
90,0,1,268435456,512,0,344.7371097
90,0,1,268435456,512,1,344.9626138
90,0,1,268435456,65536,0,334.6633989
90,0,1,268435456,65536,1,337.2694165
90,1,0,0,512,0,222.4681438
90,1,0,0,512,1,222.4542557
90,1,0,0,65536,0,206.1121888
90,1,0,0,65536,1,208.9739614
90,1,0,268435456,512,0,216.1374703
90,1,0,268435456,512,1,216.5284425
90,1,0,268435456,65536,0,206.6573302
90,1,0,268435456,65536,1,209.6964263
90,1,1,0,512,0,350.3300107
90,1,1,0,512,1,351.3866387
90,1,1,0,65536,0,333.600334
90,1,1,0,65536,1,335.1312488
90,1,1,268435456,512,0,343.6587577
90,1,1,268435456,512,1,346.1266725
90,1,1,268435456,65536,0,334.574689
90,1,1,268435456,65536,1,338.3246008
97,0,0,0,512,0,244.8981325
97,0,0,0,512,1,245.5323157
97,0,0,0,65536,0,227.6566494
97,0,0,0,65536,1,231.2898459
97,0,0,268435456,512,0,237.9542083
97,0,0,268435456,512,1,239.2039589
97,0,0,268435456,65536,0,228.8155323
97,0,0,268435456,65536,1,231.9754932
97,0,1,0,512,0,383.4567237
97,0,1,0,512,1,385.6221392
97,0,1,0,65536,0,366.6541888
97,0,1,0,65536,1,370.0176157
97,0,1,268435456,512,0,376.0628288
97,0,1,268435456,512,1,375.5261759
97,0,1,268435456,65536,0,364.5721114
97,0,1,268435456,65536,1,371.4579163
97,1,0,0,512,0,244.998781
97,1,0,0,512,1,245.7847368
97,1,0,0,65536,0,227.1348868
97,1,0,0,65536,1,229.5654301
97,1,0,268435456,512,0,238.2670652
97,1,0,268435456,512,1,239.5084902
97,1,0,268435456,65536,0,230.4863733
97,1,0,268435456,65536,1,233.0813967
97,1,1,0,512,0,383.0564118
97,1,1,0,512,1,382.2261731
97,1,1,0,65536,0,366.1055603
97,1,1,0,65536,1,369.2646518
97,1,1,268435456,512,0,377.7878207
97,1,1,268435456,512,1,377.5684172
97,1,1,268435456,65536,0,366.0412051
97,1,1,268435456,65536,1,369.5327853
98,0,0,0,512,0,204.5345683
98,0,0,0,512,1,205.8079375
98,0,0,0,65536,0,188.5281773
98,0,0,0,65536,1,191.8497583
98,0,0,268435456,512,0,199.6704395
98,0,0,268435456,512,1,199.368568
98,0,0,268435456,65536,0,189.3476991
98,0,0,268435456,65536,1,191.5719415
98,0,1,0,512,0,332.2106697
98,0,1,0,512,1,334.4678187
98,0,1,0,65536,0,318.814793
98,0,1,0,65536,1,319.2404846
98,0,1,268435456,512,0,328.4450063
98,0,1,268435456,512,1,329.307059
98,0,1,268435456,65536,0,316.7744826
98,0,1,268435456,65536,1,318.3249052
98,1,0,0,512,0,204.9710427
98,1,0,0,512,1,206.5898108
98,1,0,0,65536,0,189.2466612
98,1,0,0,65536,1,192.0575237
98,1,0,268435456,512,0,199.1782678
98,1,0,268435456,512,1,200.0504507
98,1,0,268435456,65536,0,189.0505856
98,1,0,268435456,65536,1,191.9763099
98,1,1,0,512,0,335.1257484
98,1,1,0,512,1,335.9124682
98,1,1,0,65536,0,317.976822
98,1,1,0,65536,1,323.7050105
98,1,1,268435456,512,0,327.3476127
98,1,1,268435456,512,1,329.898622
98,1,1,268435456,65536,0,316.7456975
98,1,1,268435456,65536,1,318.5132111
99,0,0,0,512,0,219.9749321
99,0,0,0,512,1,220.8372793
99,0,0,0,65536,0,200.9047469
99,0,0,0,65536,1,204.2010072
99,0,0,268435456,512,0,214.7735357
99,0,0,268435456,512,1,216.3171203
99,0,0,268435456,65536,0,203.7487597
99,0,0,268435456,65536,1,206.4544548
99,0,1,0,512,0,361.2896513
99,0,1,0,512,1,359.8849007
99,0,1,0,65536,0,338.3948378
99,0,1,0,65536,1,338.1909627
99,0,1,268435456,512,0,350.9090799
99,0,1,268435456,512,1,352.7678108
99,0,1,268435456,65536,0,337.9766628
99,0,1,268435456,65536,1,338.2686562
99,1,0,0,512,0,219.7355242
99,1,0,0,512,1,220.342253
99,1,0,0,65536,0,202.3876517
99,1,0,0,65536,1,206.1989997
99,1,0,268435456,512,0,214.0087525
99,1,0,268435456,512,1,213.82149
99,1,0,268435456,65536,0,204.7305297
99,1,0,268435456,65536,1,206.5638936
99,1,1,0,512,0,356.9905174
99,1,1,0,512,1,359.121106
99,1,1,0,65536,0,337.5145408
99,1,1,0,65536,1,340.1502199
99,1,1,268435456,512,0,349.9374385
99,1,1,268435456,512,1,351.8800828
99,1,1,268435456,65536,0,340.7115999
99,1,1,268435456,65536,1,339.8378245
105,0,0,0,512,0,222.0230874
105,0,0,0,512,1,222.2724707
